OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,REGION,OS_ID,GDB_GEOMATTR_DATA
115,Msgr. Francis A. Ryan Park,Commonwealth of Massachusetts,A97,3,Mattapan,6.14183597, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X, , ,INFO_Reallocation From Dept,3026,
116,Walker Playground,City of Boston,A97/UPARR/USH,3,Mattapan,5.95396661,550 Norfolk Str.,Commercial/Office/Business District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 2,310,
117,Kennedy Playground,Commonwealth of Massachusetts,A97,3,Mattapan,0.26005249, ,Open Space District,"Parks, Playgrounds & Athletic Fields",DCR, ,X,X,Charles Plgd, ,INFO_Reallocation From Dept,3027,
118,Forest Hills Cemetery,Private, ,4,Jamaica Plain,243.78709001, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N,X, , ,INFO_Reallocation From Dept,7026,
119,Walter Street Cemetery,City of Boston,Ch114S7/A97,4,Roslindale,0.86134391,Walter Str.,Open Space District,Cemeteries & Burying Grounds,BPRD,Private,X,X, , ,INFO_Reallocation From Dept,313,
120,Pagel Playground,City of Boston,A97/USH,3,Jamaica Plain,2.71725419,365 Hyde Park Ave.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 4,223,
121,Parkman Playground,City of Boston,A97/LWCF,3,Jamaica Plain,2.06827268,58 Wachusett Str.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 4,229,
122,Fallon Field,City of Boston,A97,3,Roslindale,7.51214641,940 South Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X, , ,PARK_Maintenance_Region 4,112,
123,Poplar Street Play Area,City of Boston,A97,3,Roslindale,0.43611834,Opposite 238 Poplar St.,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,Hillside Play Area, ,PARK_Maintenance_Region 4,241,
124,Delano Park,City of Boston, ,1,Roslindale,0.20638751, ,Open Space District,"Malls, Squares & Plazas",NULL,BPRD,N,X, ,BPWD,PARK_Maintenance_Region 4,2015,
125,Toll Gate Cemetery,Private, ,4,Jamaica Plain,0.90486582, ,Open Space District,Cemeteries & Burying Grounds,NULL, ,N,N, , ,INFO_Reallocation From Dept,7028,
